"","H_CLEAN_LINEAR_SCORE_mean","H_COMP_1_LINEAR_SCORE_mean","H_COMP_2_LINEAR_SCORE_mean","H_COMP_3_LINEAR_SCORE_mean","H_COMP_4_LINEAR_SCORE_mean","H_COMP_5_LINEAR_SCORE_mean","H_COMP_6_LINEAR_SCORE_mean","H_COMP_7_LINEAR_SCORE_mean","H_HSP_RATING_LINEAR_SCORE_mean","H_QUIET_LINEAR_SCORE_mean","H_RECMND_LINEAR_SCORE_mean"
"H_CLEAN_LINEAR_SCORE_mean",1,0.7,0.54,0.72,0.63,0.65,0.47,0.66,0.64,0.5,0.56
"H_COMP_1_LINEAR_SCORE_mean",0.7,1,0.75,0.86,0.86,0.8,0.65,0.83,0.83,0.59,0.76
"H_COMP_2_LINEAR_SCORE_mean",0.54,0.75,1,0.68,0.71,0.71,0.52,0.7,0.73,0.62,0.63
"H_COMP_3_LINEAR_SCORE_mean",0.72,0.86,0.68,1,0.79,0.78,0.61,0.76,0.77,0.59,0.67
"H_COMP_4_LINEAR_SCORE_mean",0.63,0.86,0.71,0.79,1,0.73,0.58,0.77,0.78,0.55,0.72
"H_COMP_5_LINEAR_SCORE_mean",0.65,0.8,0.71,0.78,0.73,1,0.63,0.76,0.76,0.58,0.67
"H_COMP_6_LINEAR_SCORE_mean",0.47,0.65,0.52,0.61,0.58,0.63,1,0.68,0.66,0.37,0.61
"H_COMP_7_LINEAR_SCORE_mean",0.66,0.83,0.7,0.76,0.77,0.76,0.68,1,0.85,0.56,0.83
"H_HSP_RATING_LINEAR_SCORE_mean",0.64,0.83,0.73,0.77,0.78,0.76,0.66,0.85,1,0.64,0.92
"H_QUIET_LINEAR_SCORE_mean",0.5,0.59,0.62,0.59,0.55,0.58,0.37,0.56,0.64,1,0.5
"H_RECMND_LINEAR_SCORE_mean",0.56,0.76,0.63,0.67,0.72,0.67,0.61,0.83,0.92,0.5,1
